dow,hr,min,stage,No.of waiting,Reason,Serviece time
4,19,56,4,0,2,0
3,0,55,2,18,1,334.8
5,9,39,2,15,3,235.5
5,0,34,2,35,1,857.5
1,0,25,2,3,2,62.1
3,22,53,2,17,3,411.4
0,12,20,4,39,0,343.2
6,11,10,4,32,3,246.4
4,19,6,3,23,1,204.7
3,12,14,2,39,1,674.7
2,10,27,3,37,2,333
5,0,16,2,42,3,1050
2,20,25,4,15,3,94.5
2,0,21,3,20,1,182
1,19,3,2,27,1,477.9
5,18,42,2,42,3,827.4
4,22,4,3,8,2,72.8
2,9,41,2,9,0,222.3
6,21,14,3,0,2,0
1,12,27,2,7,3,116.2
4,0,20,2,33,3,815.1
6,22,48,2,9,0,222.3
0,0,56,2,9,1,222.3
2,18,16,2,40,3,688
6,19,26,2,29,2,565.5
2,0,34,3,19,3,153.9
6,21,4,4,17,3,91.8
2,0,9,3,18,2,163.8
2,19,49,2,29,2,597.4
4,0,28,3,22,2,187
3,12,6,3,30,3,345
2,9,7,2,44,3,1091.2
2,20,54,3,13,1,109.2
6,16,0,3,30,0,315
2,11,33,3,27,3,278.1
6,16,39,2,17,2,329.8
3,21,31,2,16,3,251.2
4,12,11,2,33,1,716.1
4,18,26,2,19,2,391.4
6,18,30,4,42,3,319.2
3,0,9,3,14,3,127.4
1,10,41,3,12,3,103.2
0,11,29,4,18,2,151.2
1,0,38,4,32,3,275.2
6,0,44,3,2,2,22.4
2,0,40,4,47,0,314.9
3,21,4,3,41,2,373.1
1,20,4,3,39,0,456.3
0,16,9,3,40,0,404
4,18,15,3,38,0,402.8
1,22,7,3,46,1,464.6
1,21,46,4,2,3,10.8
0,22,19,2,37,0,569.8
3,0,0,2,40,1,692
2,0,36,4,24,2,208.8
5,0,47,3,41,2,356.7
1,0,36,3,37,1,314.5
1,0,26,2,47,2,897.7
2,19,40,2,7,0,169.4
3,10,36,2,45,3,805.5
3,0,18,4,11,2,69.3
2,21,34,3,11,1,107.8
4,0,26,3,0,1,0
5,0,27,2,48,0,1094.4
1,19,0,2,42,1,676.2
5,22,42,3,18,1,158.4
1,0,21,2,1,3,15.4
1,0,38,2,38,3,767.6
0,20,11,4,48,0,417.6
3,0,9,3,3,3,28.2
0,17,23,4,27,3,224.1
3,21,46,4,39,2,308.1
2,18,39,2,10,2,179
0,9,14,2,11,2,229.9
0,0,12,3,28,2,277.2
4,18,19,2,47,1,799
3,0,16,3,22,2,202.4
4,21,58,3,17,3,195.5
1,0,22,2,31,0,747.1
1,9,48,3,31,3,297.6
0,14,40,3,29,0,345.1
5,19,19,3,11,2,104.5
5,22,43,3,31,3,313.1
5,9,15,2,25,1,407.5
5,18,8,3,36,0,306
1,0,21,3,42,1,378
0,12,58,2,20,3,500
2,19,5,2,13,2,237.9
0,21,48,3,17,2,171.7
5,21,36,4,17,2,136
0,0,40,4,13,3,96.2
4,18,5,4,10,0,80
1,11,6,2,16,3,336
2,0,13,3,7,1,63
5,0,40,4,35,1,185.5
1,20,22,3,35,2,392
3,0,21,3,26,1,262.6
4,11,33,3,32,0,358.4
2,19,46,3,37,2,347.8
3,0,24,3,8,3,76.8
3,21,33,3,42,0,340.2
0,11,23,3,38,0,418
5,19,57,2,17,0,311.1
1,21,48,2,49,0,739.9
6,12,29,2,2,2,39.2
1,10,10,3,4,1,34.8
1,22,57,3,22,1,198
0,21,24,2,39,2,819
2,18,4,2,37,2,625.3
5,21,58,2,36,0,813.6
1,19,14,2,47,0,850.7
5,21,8,2,5,1,80.5
1,12,1,2,3,1,57.3
2,22,37,4,14,0,128.8
2,22,33,3,20,1,230
6,0,29,3,7,3,74.2
1,12,17,4,31,1,306.9
2,18,49,4,22,2,145.2
6,0,44,2,26,0,569.4
3,0,49,2,0,2,0
2,21,37,2,36,2,666
0,12,24,2,45,0,1030.5
3,0,30,4,30,2,171
0,9,28,2,35,3,780.5
3,0,55,2,34,2,805.8
1,20,19,2,49,1,980
5,0,58,2,21,3,375.9
1,12,40,2,36,1,720
1,0,30,3,0,2,0
2,12,54,3,12,0,123.6
3,19,38,2,39,1,624
2,21,58,4,26,2,213.2
1,9,19,3,25,3,272.5
2,19,56,4,37,2,236.8
4,20,30,2,31,2,725.4
6,20,5,3,17,2,156.4
4,20,19,3,17,3,163.2
0,12,23,2,40,3,796
0,12,45,2,39,3,971.1
4,9,46,3,44,3,470.8
0,12,24,3,14,3,120.4
0,9,46,2,44,1,1056
2,21,28,2,12,3,253.2
1,21,15,3,16,1,134.4
6,9,36,2,42,0,772.8
2,22,44,2,28,1,434
2,12,7,2,8,0,185.6
5,12,34,3,32,0,384
5,0,42,2,29,0,690.2
2,19,5,2,37,2,884.3
6,21,1,3,24,1,285.6
5,18,55,4,12,0,116.4
6,16,48,2,44,0,910.8
0,12,20,3,5,0,58
0,17,25,2,9,2,219.6
5,18,2,2,47,0,864.8
3,22,51,2,33,0,732.6
2,20,26,2,24,0,559.2
3,9,15,2,23,2,531.3
6,12,45,2,36,2,604.8
6,9,4,2,16,1,276.8
4,0,1,3,28,2,324.8
2,10,8,2,31,0,483.6
5,19,57,4,33,2,214.5
1,18,6,2,28,3,546
2,0,9,2,11,1,194.7
2,22,48,2,24,0,453.6
1,0,51,2,19,3,400.9
5,10,5,2,24,3,583.2
2,0,57,2,36,2,662.4
6,19,1,4,14,1,112
1,20,56,4,1,3,5.2
1,20,14,3,15,3,156
6,18,25,4,4,0,30.4
3,22,6,2,27,0,594
4,19,38,3,31,3,285.2
5,21,3,3,2,0,16.6
5,21,11,2,3,2,61.2
5,18,53,2,45,3,1035
0,22,17,2,33,3,607.2
5,0,34,3,37,2,377.4
5,21,13,4,20,1,144
4,21,16,3,11,2,124.3
0,0,11,2,16,3,310.4
0,11,44,3,42,0,424.2
2,18,31,2,30,3,612
1,22,38,2,29,1,725
3,22,36,3,49,0,553.7
5,0,39,3,32,0,364.8
6,12,31,2,2,3,34.8
1,21,34,4,2,2,13.8
6,14,11,4,26,0,257.4
2,0,27,2,47,1,911.8
6,15,25,3,7,2,65.1
0,21,46,4,19,3,152
5,20,43,2,17,3,382.5
4,19,7,3,14,2,119
1,9,56,3,26,0,226.2
0,20,57,3,3,2,27
6,10,57,3,39,0,323.7
5,22,52,3,0,3,0
3,0,12,4,27,3,140.4
5,18,7,3,34,0,323
4,9,34,2,21,0,487.2
5,0,13,4,46,0,331.2
0,16,48,3,28,2,274.4
6,15,53,3,23,3,223.1
4,0,36,2,1,2,15.5
4,10,31,3,15,3,126
2,0,51,2,39,2,850.2
5,11,38,4,2,3,18.8
0,10,41,2,12,1,288
3,18,55,2,16,1,292.8
0,0,6,2,14,0,225.4
2,18,44,2,16,2,371.2
6,20,19,2,15,1,252
0,19,7,2,48,3,1089.6
0,15,15,2,49,1,1063.3
4,0,40,3,11,1,127.6
0,10,31,3,25,1,275
4,0,1,4,29,2,217.5
2,22,21,2,38,1,653.6
6,17,26,2,13,2,299
4,18,2,2,5,3,78.5
2,0,51,3,35,3,381.5
0,22,51,3,7,1,66.5
0,0,16,4,23,3,154.1
4,0,52,2,41,1,828.2
1,18,38,4,13,2,68.9
1,12,3,2,31,3,753.3
1,12,48,2,33,2,785.4
4,0,49,2,10,3,185
1,0,21,2,43,3,705.2
2,18,46,3,5,0,58.5
6,12,36,2,22,1,477.4
1,19,15,3,36,1,360
4,20,38,4,12,2,82.8
3,0,35,2,16,1,324.8
0,20,1,3,33,3,363
2,9,35,2,33,1,762.3
3,0,47,2,13,0,210.6
2,19,46,2,35,2,763
5,22,1,2,40,3,944
0,0,36,3,45,1,378
2,12,37,4,37,0,336.7
5,22,23,2,22,2,479.6
1,10,37,2,4,3,84.8
5,21,28,2,41,3,824.1
5,10,9,2,49,1,833
4,20,54,3,1,0,11.6
3,9,39,2,2,3,33.4
5,11,50,2,22,3,501.6
3,21,43,4,17,3,144.5
4,0,24,3,27,2,283.5
4,18,29,3,35,1,336
1,19,58,2,18,2,423
0,9,19,2,5,2,78
3,22,15,4,48,2,379.2
2,12,54,2,17,0,368.9
6,9,14,2,39,2,592.8
0,15,57,2,8,0,191.2
5,18,20,2,21,3,510.3
6,18,24,3,28,2,249.2
6,0,2,3,47,0,559.3
3,21,40,2,27,0,599.4
1,22,43,2,43,3,739.6
0,14,15,2,28,0,652.4
6,9,51,2,18,0,419.4
5,18,11,2,10,0,164
3,18,20,4,29,0,220.4
0,0,55,4,5,1,27
1,20,41,2,16,1,270.4
3,18,30,2,29,1,617.7
5,21,11,2,35,3,857.5
2,9,56,3,49,2,504.7
0,18,40,4,10,1,94
3,22,21,2,44,1,919.6
1,21,49,4,40,0,364
5,9,39,2,42,2,919.8
5,0,44,2,32,2,681.6
4,19,32,2,44,1,787.6
4,0,52,3,4,1,46.4
0,17,23,3,3,0,31.2
5,20,26,3,30,2,240
3,10,18,2,40,2,696
1,0,11,3,17,2,192.1
2,0,16,2,11,1,192.5
4,11,46,2,7,3,135.1
5,9,46,4,27,1,172.8
2,10,20,3,11,1,126.5
1,0,34,4,4,2,25.2
5,9,11,2,23,3,446.2
0,18,42,2,5,3,110.5
4,20,58,3,7,0,83.3
6,22,10,3,49,0,573.3
6,22,1,2,34,2,785.4
1,12,56,3,4,2,33.6
5,0,29,3,25,1,260
4,0,36,3,2,3,18.2
0,20,58,4,47,0,418.3
0,0,3,3,16,2,164.8
5,0,12,2,31,1,589
3,9,12,2,36,1,849.6
0,17,15,2,10,1,245
4,0,34,3,33,2,343.2
6,12,43,3,1,3,10.1
5,19,54,4,19,1,108.3
0,16,48,3,4,1,46.4
2,11,54,2,35,3,693
5,0,47,3,10,0,94
3,21,14,2,43,0,756.8
2,21,33,2,29,3,545.2
5,0,29,2,6,3,124.2
4,18,33,2,32,3,752
5,20,4,3,2,3,18.2
3,20,43,2,13,1,289.9
4,20,55,2,44,1,818.4
5,19,31,2,28,1,442.4
0,11,6,2,8,1,130.4
3,18,43,3,0,3,0
4,18,58,4,1,2,9.6
4,0,53,2,37,2,817.7
3,0,24,3,19,2,167.2
5,18,5,3,45,1,463.5
0,21,19,2,11,3,225.5
0,0,15,3,43,3,374.1
0,22,40,2,30,3,585
4,9,46,3,6,0,53.4
3,10,50,3,5,3,57
2,12,30,4,44,2,290.4
2,20,43,4,26,1,182
6,17,25,3,11,3,102.3
4,22,55,2,42,2,693
0,11,57,4,13,2,118.3
3,20,32,4,32,0,230.4
3,0,48,3,12,3,105.6
5,0,5,4,33,3,211.2
0,15,39,4,4,3,20.8
2,0,26,2,24,2,573.6
1,0,51,4,45,0,301.5
2,0,43,2,48,1,787.2
3,0,36,2,49,0,823.2
1,0,27,2,18,1,401.4
5,0,29,3,25,2,265
1,21,26,3,32,0,339.2
2,0,48,3,26,1,223.6
5,18,3,3,42,3,411.6
6,22,4,2,40,3,792
6,22,29,2,7,2,124.6
6,11,9,2,30,0,492
2,0,15,2,13,3,280.8
5,0,29,3,25,3,242.5
5,20,32,4,26,3,202.8
1,21,39,2,40,1,848
0,14,29,3,35,3,280
0,0,42,4,21,1,191.1
5,18,26,3,10,0,119
6,15,43,4,5,2,43
0,9,35,3,44,0,431.2
3,0,38,3,11,1,106.7
6,16,52,2,6,3,94.8
0,15,28,2,12,3,270
0,0,50,2,9,3,183.6
2,19,48,2,36,2,867.6
3,21,38,2,48,0,921.6
1,0,21,2,46,0,818.8
3,22,2,4,2,3,19.6
5,12,8,2,44,0,994.4
1,22,21,3,6,2,55.2
4,0,16,3,25,0,275
4,0,18,3,0,0,0
5,21,31,3,36,2,363.6
5,22,4,2,12,1,276
5,0,50,2,13,0,245.7
0,18,33,3,48,1,403.2
0,16,13,4,18,1,109.8
3,0,52,3,42,3,344.4
6,0,46,3,45,0,490.5
0,15,38,4,25,1,155
3,0,48,2,26,3,561.6
2,10,38,3,33,3,300.3
3,0,18,2,26,1,416
5,19,37,2,39,1,604.5
5,21,6,3,47,3,399.5
3,21,38,4,36,0,223.2
4,22,46,3,7,0,77
1,21,9,3,45,0,463.5
6,0,36,2,6,2,122.4
3,18,47,3,16,2,137.6
1,0,18,2,8,3,196
5,18,37,3,0,2,0
4,12,7,2,48,2,830.4
5,0,15,2,8,0,132.8
5,18,16,3,48,0,556.8
6,0,8,4,31,3,198.4
5,22,26,2,44,2,1091.2
1,0,31,4,11,2,66
5,0,6,2,14,0,242.2
5,21,33,4,18,2,172.8
5,9,47,3,46,0,372.6
5,9,17,2,27,2,542.7
0,21,50,4,10,2,78
4,19,33,2,7,1,157.5
6,20,58,4,43,0,331.1
3,9,37,2,31,0,669.6
2,19,40,2,24,2,396
1,0,42,2,8,2,136
5,21,58,4,16,1,145.6
2,20,22,2,23,3,487.6
0,11,34,2,46,3,878.6
3,22,25,2,49,0,901.6
4,21,8,4,35,2,311.5
3,22,39,2,15,1,337.5
4,20,7,4,19,2,182.4
0,0,2,3,33,1,343.2
6,11,45,4,15,1,109.5
0,0,13,3,16,2,155.2
3,18,19,2,31,3,511.5
1,19,45,4,28,2,162.4
1,0,43,2,22,0,448.8
1,20,53,4,40,3,244
2,12,45,2,48,3,912
2,20,45,2,2,2,40.8
1,0,36,2,27,0,445.5
4,21,3,2,25,0,550
1,22,17,3,49,1,445.9
6,9,48,3,23,1,234.6
2,0,39,2,21,1,447.3
2,0,54,4,23,2,218.5
1,11,7,3,44,2,391.6
2,0,45,2,13,2,201.5
6,9,11,3,46,2,460
2,0,40,2,23,1,469.2
5,18,17,2,39,2,971.1
1,0,28,2,20,2,480
3,0,2,3,22,0,206.8
3,0,17,4,41,1,393.6
5,0,57,2,25,2,545
0,19,51,2,40,1,928
3,22,55,2,36,1,572.4
1,0,42,3,44,0,404.8
6,0,45,3,23,1,236.9
5,0,28,2,2,1,38.2
1,20,15,4,21,0,119.7
4,20,22,3,26,1,293.8
4,22,4,2,27,3,545.4
4,20,58,3,33,0,366.3
0,20,52,3,38,2,448.4
5,21,56,3,27,1,307.8
0,22,24,3,49,2,475.3
2,18,58,2,10,3,227
5,18,10,2,16,3,385.6
5,11,42,3,42,2,344.4
3,21,8,3,46,0,441.6
3,20,9,2,49,3,1127
4,18,51,3,34,3,326.4
5,12,56,3,12,2,114
1,0,52,3,8,3,89.6
0,16,53,3,25,1,262.5
6,0,1,3,45,1,490.5
0,14,24,2,20,2,438
5,18,33,4,30,3,243
0,9,52,2,42,1,1029
3,20,19,3,45,1,427.5
2,22,21,2,16,3,361.6
2,11,24,4,33,2,293.7
6,10,17,2,20,3,404
5,20,49,3,24,3,218.4
3,18,13,3,24,3,235.2
5,18,38,2,16,2,321.6
0,9,56,3,33,2,369.6
3,21,28,4,40,1,272
0,22,41,2,42,0,890.4
1,0,33,3,26,1,267.8
6,22,58,3,5,0,57
1,0,44,2,8,2,159.2
3,9,17,2,1,2,19.3
3,0,6,4,32,0,185.6
2,0,53,2,45,0,787.5
3,20,35,2,12,0,262.8
1,20,24,2,48,3,969.6
0,11,4,3,21,2,207.9
3,20,10,2,4,2,86.8
1,20,9,3,34,0,272
2,21,13,3,17,0,202.3
4,21,45,2,19,0,391.4
2,0,18,2,45,0,796.5
3,0,35,2,47,1,808.4
4,0,41,3,33,0,267.3
0,0,41,3,14,0,121.8
5,20,37,2,11,1,199.1
0,18,43,2,33,2,805.2
1,0,6,4,28,0,142.8
6,11,34,3,46,3,450.8
0,16,9,3,6,2,56.4
0,14,55,2,42,0,919.8
6,0,29,3,35,2,399
1,18,4,2,4,1,67.6
6,17,5,2,0,3,0
6,0,40,3,43,1,352.6
0,17,35,2,22,3,338.8
1,19,0,2,11,3,196.9
2,21,30,3,45,0,517.5
2,0,1,2,18,1,289.8
1,11,27,2,20,1,336
2,18,9,2,25,2,412.5
0,0,51,2,18,0,306
3,21,58,2,0,0,0
5,22,51,2,35,2,752.5
0,17,45,2,47,1,921.2
3,19,17,3,12,0,142.8
2,0,15,4,21,2,115.5
5,22,15,3,14,3,142.8
2,20,46,2,17,0,343.4
0,0,56,3,23,0,271.4
3,12,48,2,5,1,124
6,10,39,3,29,3,234.9
5,20,19,2,27,2,437.4
4,20,27,3,41,0,369
0,0,35,3,34,3,333.2
6,16,36,2,40,1,788
5,19,23,2,39,0,955.5
1,18,38,3,36,2,302.4
0,21,35,2,47,0,808.4
2,20,7,3,40,1,364
0,16,56,2,43,3,847.1
5,9,36,4,21,2,132.3
1,11,35,2,9,1,209.7
3,21,54,4,20,3,176
2,0,56,2,23,1,489.9
6,20,58,3,9,3,90
5,20,50,4,16,2,81.6
6,11,31,4,10,3,81
3,21,8,3,7,3,73.5
2,20,51,3,29,2,316.1
1,0,42,2,9,0,210.6
0,12,17,4,40,1,304
5,20,48,3,18,0,147.6
3,0,11,2,23,1,391
3,0,29,2,21,3,489.3
1,22,48,2,42,2,890.4
2,20,29,4,10,0,60
4,0,12,2,33,3,676.5
2,19,56,2,38,0,589
2,0,12,2,39,0,897
2,18,57,3,36,0,288
0,22,2,2,9,2,148.5
1,19,4,3,45,1,477
3,10,8,2,23,0,515.2
1,20,10,2,8,1,125.6
6,22,21,2,7,0,134.4
0,21,54,3,42,3,470.4
2,22,40,3,17,2,204
4,0,28,2,18,2,401.4
3,20,33,2,38,1,839.8
6,21,17,4,1,3,9.7
4,19,20,4,34,3,224.4
4,18,43,2,26,1,457.6
2,0,50,2,28,0,669.2
2,10,16,2,41,2,660.1
1,19,56,3,23,0,266.8
1,22,5,4,24,3,129.6
1,22,47,2,34,3,550.8
3,10,49,2,15,1,228
2,19,5,2,19,1,345.8
0,21,3,4,39,2,343.2
6,16,8,2,6,2,138.6
6,18,43,2,33,0,709.5
1,20,47,2,20,0,460
1,21,21,4,37,1,247.9
5,0,30,2,32,1,678.4
5,10,39,4,38,2,311.6
0,0,15,3,22,1,191.4
3,22,53,3,17,2,176.8
2,0,19,4,42,2,306.6
2,0,10,4,49,1,490
3,21,5,2,25,3,395
4,0,29,4,1,2,8.8
6,22,57,3,29,1,281.3
2,0,22,3,35,1,283.5
4,19,45,2,38,0,847.4
5,0,51,3,23,0,220.8
3,0,39,4,5,3,29.5
1,18,4,3,45,3,526.5
6,12,12,3,44,1,440
3,10,1,2,17,2,391
1,20,42,2,11,3,270.6
3,0,29,3,17,2,151.3
3,18,20,2,44,1,875.6
0,10,43,2,27,3,415.8
2,12,19,2,34,3,629
0,14,56,4,46,1,285.2
1,11,6,2,43,1,989
3,9,33,2,30,0,570
3,21,38,2,45,3,837
0,21,36,4,49,1,455.7
6,9,13,3,25,1,277.5
0,16,37,3,44,1,374
2,0,11,2,35,1,581
3,0,33,2,37,1,828.8
0,14,57,4,44,0,281.6
3,0,16,3,38,3,323
0,9,46,3,4,2,37.2
3,18,44,3,4,2,33.2
6,10,26,2,15,1,370.5
6,0,42,4,17,1,161.5
3,19,2,2,33,1,772.2
0,0,12,3,41,0,414.1
5,0,10,3,0,2,0
0,0,50,2,44,0,924
4,0,57,2,15,0,339
3,0,15,3,14,3,158.2
6,15,9,3,31,1,353.4
2,0,40,3,32,2,294.4
0,10,33,4,4,0,28.8
2,10,45,3,46,2,400.2
5,0,35,3,15,1,138
0,22,7,4,18,2,171
4,0,42,2,16,2,299.2
2,0,14,2,1,0,20.9
0,10,24,3,24,0,235.2
0,14,39,3,17,3,147.9
3,10,43,3,42,1,386.4
0,15,25,3,18,3,207
3,0,6,3,33,3,386.1
6,0,9,2,47,3,878.9
5,19,14,4,27,1,199.8
2,21,39,2,0,3,0
1,20,25,2,21,0,415.8
2,0,37,2,10,1,156
5,12,40,4,26,2,210.6
2,20,22,2,26,0,457.6
5,12,38,2,25,2,407.5
4,0,40,2,49,3,911.4
4,0,46,4,22,3,220
3,0,31,3,41,2,332.1
2,18,56,3,25,0,245
0,20,12,2,26,0,514.8
0,10,14,3,19,3,214.7
6,18,49,3,40,2,352
1,12,43,2,23,3,487.6
0,20,3,3,9,0,81
2,11,53,4,9,0,58.5
1,0,24,3,42,1,344.4
6,10,18,3,7,2,68.6
0,0,30,3,5,3,47
1,21,44,4,21,3,159.6
4,9,22,2,16,1,312
0,19,46,4,18,0,106.2
6,0,1,2,9,3,201.6
3,0,11,2,12,3,240
1,0,17,3,4,3,37.6
0,0,16,2,18,1,426.6
3,20,24,3,14,3,158.2
3,21,34,3,4,1,46.8
5,0,40,3,45,1,531
4,9,0,4,40,1,376
5,21,30,2,35,0,672
5,22,19,2,11,3,187
2,0,12,2,33,2,547.8
1,11,41,2,36,2,788.4
6,0,55,2,26,0,634.4
2,12,21,2,15,3,321
6,19,40,3,6,0,65.4
4,21,17,2,4,1,64.8
3,0,10,2,22,1,510.4
0,0,32,4,28,1,187.6
0,14,26,2,11,0,243.1
3,0,1,2,14,1,289.8
6,17,9,3,29,2,313.2
0,12,32,2,47,3,977.6
2,19,8,3,22,3,253
4,0,8,2,43,3,963.2
6,10,12,2,8,1,133.6
0,12,4,2,26,2,478.4
3,0,11,4,18,1,136.8
1,0,10,2,10,3,249
6,22,8,2,45,0,1080
4,20,10,3,40,2,364
1,9,28,2,26,2,631.8
5,0,7,3,1,1,8.9
0,12,56,2,32,1,761.6
6,11,24,4,40,3,272
3,0,1,2,22,3,437.8
5,22,34,4,20,2,166
6,22,53,3,44,2,519.2
6,22,58,2,30,2,486
5,0,31,3,27,0,253.8
0,14,20,3,26,0,267.8
1,0,48,2,37,3,632.7
3,10,23,2,14,0,298.2
5,11,1,2,8,2,185.6
0,0,44,3,49,1,436.1
3,10,19,4,0,2,0
2,21,17,4,32,2,217.6
0,11,32,3,45,1,495
0,0,8,2,34,3,782
1,0,13,2,23,1,549.7
6,0,40,2,37,0,740
0,22,17,2,8,0,164
5,22,12,3,20,0,220
5,20,32,2,44,3,805.2
5,20,47,3,21,1,243.6
4,0,50,4,37,0,225.7
1,21,7,3,20,3,208
6,16,0,3,18,1,183.6
1,19,11,2,20,0,444
3,19,24,2,32,1,572.8
4,22,16,2,48,1,1195.2
5,9,22,2,16,3,244.8
3,0,35,2,15,1,306
1,0,57,2,37,2,828.8
0,0,34,3,39,0,362.7
4,0,14,2,24,0,501.6
6,9,27,2,42,0,760.2
3,21,11,2,38,1,691.6
3,0,23,4,6,2,50.4
6,20,53,3,43,3,399.9
6,22,45,2,6,1,112.8
5,0,49,3,20,3,240
3,12,7,3,10,1,86
2,0,9,2,45,1,873
5,0,51,2,3,3,53.7
3,22,0,2,34,2,533.8
0,0,53,4,29,0,281.3
1,18,13,2,32,0,700.8
3,22,10,3,26,3,296.4
1,22,55,4,49,0,333.2
4,9,47,2,39,0,865.8
1,18,35,3,42,2,478.8
3,0,1,4,8,0,54.4
0,15,44,3,14,3,141.4
0,10,57,4,8,2,55.2
1,0,30,2,44,1,778.8
0,11,13,2,5,2,111
5,0,18,2,21,2,520.8
4,18,35,2,4,2,74.8
4,20,56,2,35,0,742
4,0,8,4,0,1,0
1,10,42,2,13,0,314.6
1,12,7,2,49,3,945.7
4,18,58,2,32,3,608
2,11,58,2,6,0,101.4
4,21,0,2,23,1,563.5
2,21,20,3,0,3,0
1,11,12,2,48,1,1195.2
3,18,7,4,0,2,0
5,0,11,3,37,2,344.1
2,0,48,3,19,0,172.9
4,0,13,2,14,0,316.4
3,10,20,4,28,0,238
1,21,47,2,41,0,979.9
0,17,38,4,34,1,278.8
2,0,38,2,27,3,675
3,18,9,2,25,0,495
2,0,24,2,13,1,276.9
5,0,12,3,9,2,104.4
2,18,58,2,35,3,871.5
1,9,40,2,29,1,603.2
0,14,25,3,46,3,395.6
6,0,57,3,12,2,102
4,0,4,2,37,0,773.3
6,0,52,2,26,2,574.6
0,18,8,2,0,3,0
1,18,32,2,27,3,672.3
0,0,14,4,28,2,280
3,20,38,2,47,0,930.6
3,19,57,2,33,3,808.5
4,0,9,4,26,2,226.2
1,0,32,3,14,1,149.8
3,0,9,2,48,1,998.4
6,21,17,3,37,1,421.8
0,10,40,4,29,3,168.2
5,0,56,3,23,3,239.2
2,21,29,2,16,3,278.4
3,21,41,2,42,0,663.6
0,20,14,2,3,2,74.1
6,11,49,3,32,1,278.4
4,0,7,2,13,3,218.4
5,20,36,2,46,0,828
0,19,37,4,7,1,60.2
6,17,31,2,9,3,152.1
2,9,49,2,7,2,133.7
6,17,45,3,11,0,107.8
0,10,22,2,26,2,611
6,22,9,3,30,1,339
6,0,36,4,18,3,176.4
2,12,45,3,15,1,123
0,16,54,2,19,2,406.6
2,11,43,4,19,3,102.6
2,21,49,3,25,1,300
1,0,14,3,48,3,470.4
6,10,44,2,21,2,487.2
5,18,33,4,1,1,5.7
1,22,7,3,47,0,502.9
2,19,1,2,35,0,612.5
5,20,29,2,1,0,17.5
3,0,37,3,46,1,464.6
2,0,4,3,13,0,117
0,0,45,2,44,2,836
0,19,22,3,34,2,333.2
3,12,41,2,16,1,344
1,20,20,2,43,1,748.2
5,0,52,2,20,2,320
6,9,33,3,6,1,54.6
4,22,37,3,16,2,180.8
2,20,41,2,45,1,1120.5
0,12,50,2,21,2,470.4
6,22,17,2,17,1,368.9
2,12,2,2,1,3,15.6
6,12,9,2,6,3,103.8
5,0,30,2,15,1,294
3,0,23,3,31,2,248
1,0,24,2,4,3,91.6
6,0,18,2,7,3,170.8
1,19,37,3,38,3,349.6
4,22,27,2,18,0,399.6
3,0,28,2,39,0,939.9
6,0,39,4,20,1,184
4,20,17,4,35,2,217
3,0,10,2,24,3,468
6,16,17,3,2,0,21.8
4,11,34,4,19,0,127.3
5,21,49,2,6,1,111
6,14,50,3,43,2,473
3,21,32,2,40,1,684
2,0,47,2,13,2,267.8
4,10,25,4,0,3,0
4,19,34,4,18,0,147.6
6,0,49,3,45,0,418.5
3,11,42,2,29,0,603.2
4,0,48,3,48,2,508.8
6,22,31,2,2,3,43.4
3,0,46,3,41,2,487.9
3,20,11,3,39,3,370.5
6,10,6,2,31,0,753.3
3,21,25,3,13,2,149.5
0,22,21,4,43,2,283.8
0,15,39,2,9,1,223.2
6,0,29,2,4,3,70.8
5,0,10,3,29,0,272.6
1,0,20,2,4,1,63.6
6,17,7,2,7,1,145.6
6,0,39,3,49,0,441
4,20,15,4,39,2,304.2
2,19,46,2,41,2,906.1
0,11,10,4,5,3,47
1,0,1,3,17,0,185.3
3,22,0,4,46,3,257.6
1,12,7,4,42,3,403.2
4,0,56,3,28,2,240.8
4,19,4,4,1,2,6.2
5,20,25,3,16,3,180.8
1,0,20,3,7,3,78.4
4,21,53,2,34,3,578
3,21,28,4,22,0,176
4,0,16,3,1,3,9.8
5,0,30,2,28,3,680.4
4,19,57,3,21,3,220.5
4,18,1,4,3,2,27
1,0,37,3,29,3,243.6
3,0,10,4,7,1,63
6,0,51,2,29,1,716.3
5,0,0,2,9,2,216
4,22,22,2,28,2,691.6
3,0,20,4,26,1,143
3,0,18,4,5,1,30
1,21,11,2,21,2,422.1
2,18,25,2,6,3,93
4,12,40,2,32,2,771.2
2,0,6,4,25,3,232.5
0,0,17,2,31,3,514.6
6,0,0,2,49,2,1205.4
1,21,45,3,46,3,483
6,0,26,2,7,3,127.4
2,19,1,2,37,1,765.9
6,18,14,3,18,0,180
3,20,38,2,11,0,268.4
1,0,31,3,33,2,330
6,15,38,3,47,3,441.8
5,0,25,2,36,2,795.6
4,0,8,2,28,1,616
3,0,24,2,39,3,651.3
4,20,6,3,6,0,66
1,0,29,3,47,3,451.2
3,21,42,4,27,1,178.2
0,0,17,2,31,0,616.9
2,0,39,2,44,1,937.2
0,10,8,3,40,3,336
5,18,1,4,31,3,263.5
5,20,18,2,26,2,520
2,21,9,4,13,3,109.2
2,12,1,3,21,3,247.8
6,19,54,2,35,2,777
0,15,6,2,6,1,124.8
1,19,51,2,34,0,768.4
3,10,54,2,26,0,616.2
3,20,37,3,2,0,16.4
2,19,23,3,11,1,123.2
6,10,52,4,40,2,320
2,10,30,3,3,2,31.8
1,19,23,2,28,1,638.4
